customer_id,score_margen,score_ingreso,score_frecuencia,score_programa,score_adherencia,indice_priorizacion,categoria_valor,clv_24m,fecha_calculo
XFC-00977,1.55,1.28,5.12,0,50.0,16.41,Valor Bajo,0.0,2026-04-15
XFC-00978,3.67,3.0,9.25,25,50.0,20.4,Valor Bajo,0.0,2026-04-15
XFC-00979,8.69,4.97,13.0,25,60.58,25.79,Valor Bajo,630.0,2026-04-15
XFC-00980,1.66,0.89,2.88,0,50.0,16.02,Valor Bajo,0.0,2026-04-15
XFC-00981,0.05,0.08,1.62,0,50.0,15.27,Valor Bajo,0.0,2026-04-15
XFC-00982,0.08,0.0,0.0,0,50.0,15.02,Valor Bajo,0.0,2026-04-15
XFC-00983,31.98,33.26,26.88,0,77.89,42.05,Valor Medio,2671.0,2026-04-15
XFC-00984,3.34,2.95,2.5,0,50.0,16.8,Valor Bajo,0.0,2026-04-15
XFC-00985,21.69,17.84,26.38,50,74.54,40.31,Valor Medio,1358.0,2026-04-15
XFC-00986,23.07,21.25,29.62,25,71.6,38.44,Valor Medio,2574.0,2026-04-15
XFC-00987,48.63,43.71,47.0,75,93.19,63.41,Alto Valor,11410.0,2026-04-15
XFC-00988,1.17,1.02,22.0,0,50.0,18.8,Valor Bajo,0.0,2026-04-15
XFC-00989,3.54,2.94,4.25,0,50.0,17.11,Valor Bajo,0.0,2026-04-15
XFC-00990,19.9,21.6,13.63,50,76.67,39.34,Valor Medio,1174.0,2026-04-15
XFC-00991,3.13,2.59,6.88,0,50.0,17.33,Valor Bajo,0.0,2026-04-15
XFC-00992,25.29,28.94,19.12,25,83.69,42.59,Valor Medio,3839.0,2026-04-15
XFC-00993,2.64,2.48,0.62,0,50.0,16.25,Valor Bajo,0.0,2026-04-15
XFC-00994,1.75,1.27,4.25,25,50.0,18.83,Valor Bajo,0.0,2026-04-15
XFC-00995,0.09,0.11,0.5,0,50.0,15.12,Valor Bajo,0.0,2026-04-15
XFC-00996,2.37,2.06,4.5,0,50.0,16.68,Valor Bajo,0.0,2026-04-15
XFC-00997,36.44,31.08,41.75,50,84.54,51.95,Valor Medio,4156.0,2026-04-15
XFC-00998,29.79,30.73,25.0,75,85.37,50.45,Valor Medio,4918.0,2026-04-15
XFC-00999,4.09,3.29,8.0,100,50.0,27.88,Valor Bajo,0.0,2026-04-15
XFC-01000,18.16,14.23,61.75,25,69.09,39.88,Valor Medio,2286.0,2026-04-15
XFC-01001,1.18,0.66,5.62,0,50.0,16.27,Valor Bajo,0.0,2026-04-15
XFC-01002,3.84,3.3,22.62,25,81.27,31.89,Valor Bajo,1928.0,2026-04-15
XFC-01003,0.47,0.43,0.5,0,50.0,15.28,Valor Bajo,0.0,2026-04-15
XFC-01004,8.36,6.34,16.88,0,50.0,20.89,Valor Bajo,0.0,2026-04-15
XFC-01005,2.53,1.48,4.0,0,50.0,16.53,Valor Bajo,0.0,2026-04-15
XFC-01006,8.1,7.51,20.38,75,79.72,38.0,Valor Medio,1351.0,2026-04-15
XFC-01007,1.17,1.08,1.62,0,50.0,15.75,Valor Bajo,0.0,2026-04-15
XFC-01008,11.43,6.48,11.38,0,50.0,20.86,Valor Bajo,0.0,2026-04-15
XFC-01009,36.14,37.7,28.25,50,77.52,49.07,Valor Medio,3590.0,2026-04-15
XFC-01010,14.33,13.08,26.25,100,69.14,40.88,Valor Medio,712.0,2026-04-15
XFC-01011,4.85,5.28,23.5,75,75.5,35.94,Valor Medio,2039.0,2026-04-15
XFC-01012,23.89,12.61,27.5,75,76.63,43.11,Valor Medio,2540.0,2026-04-15
XFC-01013,1.1,1.01,3.0,75,50.0,23.43,Valor Bajo,0.0,2026-04-15
XFC-01014,2.86,1.78,3.75,0,50.0,16.63,Valor Bajo,0.0,2026-04-15
XFC-01015,0.02,0.06,0.88,25,50.0,17.65,Valor Bajo,0.0,2026-04-15
XFC-01016,25.28,22.96,30.38,25,87.8,44.31,Valor Medio,3039.0,2026-04-15
XFC-01017,6.44,4.58,10.38,25,50.0,21.58,Valor Bajo,0.0,2026-04-15
XFC-01018,1.73,1.5,2.75,0,50.0,16.14,Valor Bajo,0.0,2026-04-15
XFC-01019,9.07,7.19,14.0,50,50.0,25.81,Valor Bajo,0.0,2026-04-15
XFC-01020,0.12,0.14,0.62,0,50.0,15.15,Valor Bajo,0.0,2026-04-15
XFC-01021,16.74,13.18,18.5,50,67.81,34.94,Valor Bajo,648.0,2026-04-15
XFC-01022,14.82,11.83,24.12,0,77.2,32.85,Valor Bajo,1209.0,2026-04-15
XFC-01023,0.04,0.0,0.0,0,50.0,15.01,Valor Bajo,0.0,2026-04-15
XFC-01024,28.99,36.49,25.12,75,70.1,46.84,Valor Medio,1389.0,2026-04-15
XFC-01025,0.43,0.4,1.12,25,50.0,17.86,Valor Bajo,0.0,2026-04-15
XFC-01026,7.92,7.12,7.88,0,77.22,27.75,Valor Bajo,486.0,2026-04-15
XFC-01027,0.13,0.15,12.5,0,50.0,16.94,Valor Bajo,0.0,2026-04-15
XFC-01028,16.94,14.22,42.25,25,90.92,43.19,Valor Medio,4844.0,2026-04-15
XFC-01029,44.72,36.06,38.88,0,77.26,47.4,Valor Medio,3431.0,2026-04-15
XFC-01030,0.64,0.3,0.38,0,50.0,15.28,Valor Bajo,0.0,2026-04-15
XFC-01031,0.47,0.43,0.88,0,50.0,15.34,Valor Bajo,0.0,2026-04-15
XFC-01032,10.15,5.18,22.25,100,93.65,45.01,Valor Medio,6810.0,2026-04-15
XFC-01033,0.94,0.85,1.75,50,50.0,20.67,Valor Bajo,0.0,2026-04-15
XFC-01034,3.01,2.68,5.12,50,66.99,27.15,Valor Bajo,147.0,2026-04-15
XFC-01035,0.49,0.44,2.12,0,50.0,15.53,Valor Bajo,0.0,2026-04-15
XFC-01036,0.81,0.0,0.0,0,50.0,15.2,Valor Bajo,0.0,2026-04-15
XFC-01037,46.46,39.56,29.12,0,90.89,51.16,Valor Medio,7793.0,2026-04-15
XFC-01038,5.5,3.76,29.62,50,69.6,32.45,Valor Bajo,1250.0,2026-04-15
XFC-01039,1.82,1.29,2.88,0,50.0,16.14,Valor Bajo,0.0,2026-04-15
XFC-01040,18.96,12.44,52.5,0,91.43,42.53,Valor Medio,11234.0,2026-04-15
XFC-01041,33.28,30.32,23.75,75,86.39,51.36,Valor Medio,3848.0,2026-04-15
XFC-01042,9.6,8.34,14.12,50,50.0,26.19,Valor Bajo,0.0,2026-04-15
XFC-01043,1.32,0.0,0.0,0,0.0,0.33,En Riesgo,91.0,2026-04-15
XFC-01044,0.96,0.85,3.88,50,50.0,20.99,Valor Bajo,0.0,2026-04-15
XFC-01045,23.6,26.94,31.62,75,90.27,50.61,Valor Medio,8775.0,2026-04-15
XFC-01046,26.38,27.17,23.5,0,83.28,40.54,Valor Medio,2472.0,2026-04-15
XFC-01047,45.33,51.94,26.75,25,78.14,51.68,Valor Medio,2958.0,2026-04-15
XFC-01048,3.8,3.01,10.88,0,50.0,18.18,Valor Bajo,0.0,2026-04-15
XFC-01049,1.92,1.47,4.62,0,50.0,16.47,Valor Bajo,0.0,2026-04-15
XFC-01050,15.6,12.63,31.13,25,93.38,41.61,Valor Medio,7362.0,2026-04-15
XFC-01051,0.46,0.42,1.5,0,50.0,15.42,Valor Bajo,0.0,2026-04-15
XFC-01052,0.33,0.0,0.0,0,50.0,15.08,Valor Bajo,0.0,2026-04-15
XFC-01053,1.4,1.14,3.25,0,50.0,16.07,Valor Bajo,0.0,2026-04-15
XFC-01054,4.21,3.85,4.25,0,50.0,17.46,Valor Bajo,0.0,2026-04-15
XFC-01055,25.24,19.08,42.5,0,82.55,41.27,Valor Medio,3872.0,2026-04-15
XFC-01056,0.38,0.35,1.88,0,50.0,15.45,Valor Bajo,0.0,2026-04-15
XFC-01057,3.48,2.5,6.12,25,50.0,19.79,Valor Bajo,0.0,2026-04-15
XFC-01058,0.38,0.37,10.38,0,50.0,16.73,Valor Bajo,0.0,2026-04-15
XFC-01059,24.33,30.61,24.25,0,88.53,42.4,Valor Medio,5851.0,2026-04-15
XFC-01060,10.5,9.31,20.12,0,80.05,31.52,Valor Bajo,1110.0,2026-04-15
XFC-01061,0.4,0.35,1.0,0,50.0,15.32,Valor Bajo,0.0,2026-04-15
XFC-01062,40.37,36.6,42.12,100,69.02,54.44,Valor Medio,2378.0,2026-04-15
XFC-01063,15.78,13.7,38.38,25,73.32,36.94,Valor Medio,1430.0,2026-04-15
XFC-01064,50.24,42.71,23.25,25,69.97,48.08,Valor Medio,2434.0,2026-04-15
XFC-01065,0.26,0.25,1.38,0,50.0,15.32,Valor Bajo,0.0,2026-04-15
XFC-01066,4.05,3.11,7.5,0,50.0,17.76,Valor Bajo,0.0,2026-04-15
XFC-01067,4.47,3.5,4.88,0,50.0,17.55,Valor Bajo,0.0,2026-04-15
XFC-01068,0.06,0.0,0.0,0,50.0,15.02,Valor Bajo,0.0,2026-04-15
XFC-01069,0.11,0.0,0.0,0,50.0,15.03,Valor Bajo,0.0,2026-04-15
XFC-01070,11.25,8.71,17.75,75,50.0,29.72,Valor Bajo,0.0,2026-04-15
XFC-01071,3.53,2.58,7.62,0,50.0,17.54,Valor Bajo,0.0,2026-04-15
XFC-01072,0.68,0.0,0.0,25,50.0,17.67,Valor Bajo,0.0,2026-04-15
XFC-01073,20.13,18.24,29.12,0,84.51,38.4,Valor Medio,3740.0,2026-04-15
XFC-01074,3.37,2.71,6.25,0,50.0,17.32,Valor Bajo,0.0,2026-04-15
XFC-01075,6.95,4.18,8.0,0,50.0,18.77,Valor Bajo,0.0,2026-04-15
XFC-01076,1.65,1.52,26.75,0,50.0,19.73,Valor Bajo,0.0,2026-04-15
XFC-01077,0.07,0.1,12.5,0,50.0,16.91,Valor Bajo,0.0,2026-04-15
XFC-01078,5.73,4.54,5.0,0,50.0,18.09,Valor Bajo,0.0,2026-04-15
XFC-01079,2.95,2.42,7.75,50,50.0,22.38,Valor Bajo,0.0,2026-04-15
XFC-01080,1.52,1.33,2.88,0,50.0,16.08,Valor Bajo,0.0,2026-04-15
XFC-01081,3.35,2.06,7.62,0,50.0,17.39,Valor Bajo,0.0,2026-04-15
XFC-01082,0.06,0.09,0.75,0,50.0,15.15,Valor Bajo,0.0,2026-04-15
XFC-01083,3.06,2.56,1.88,0,50.0,16.56,Valor Bajo,0.0,2026-04-15
XFC-01084,1.43,1.25,4.12,0,50.0,16.23,Valor Bajo,0.0,2026-04-15
XFC-01085,17.78,18.91,18.0,50,84.3,41.22,Valor Medio,1913.0,2026-04-15
XFC-01086,0.44,0.42,3.62,25,50.0,18.24,Valor Bajo,0.0,2026-04-15
XFC-01087,0.87,0.78,7.25,0,50.0,16.46,Valor Bajo,0.0,2026-04-15
XFC-01088,28.3,22.46,26.75,0,71.85,37.13,Valor Medio,1544.0,2026-04-15
XFC-01089,0.14,0.0,0.0,50,50.0,20.04,Valor Bajo,0.0,2026-04-15
XFC-01090,0.06,0.09,5.25,0,50.0,15.82,Valor Bajo,0.0,2026-04-15
XFC-01091,1.03,0.88,2.12,0,50.0,15.75,Valor Bajo,0.0,2026-04-15
XFC-01092,0.09,0.11,4.25,0,50.0,15.68,Valor Bajo,0.0,2026-04-15
XFC-01093,11.54,10.24,19.88,50,68.8,33.55,Valor Bajo,788.0,2026-04-15
XFC-01094,5.33,4.12,6.25,25,50.0,20.59,Valor Bajo,0.0,2026-04-15
XFC-01095,0.05,0.0,0.0,0,50.0,15.01,Valor Bajo,0.0,2026-04-15
XFC-01096,47.3,43.42,32.38,25,82.43,52.6,Valor Medio,3950.0,2026-04-15
XFC-01097,0.14,0.16,4.75,0,50.0,15.78,Valor Bajo,0.0,2026-04-15
XFC-01098,0.11,0.13,1.75,0,50.0,15.32,Valor Bajo,0.0,2026-04-15
XFC-01099,1.12,0.83,2.5,75,50.0,23.32,Valor Bajo,0.0,2026-04-15
XFC-01100,7.07,5.81,8.12,0,50.0,19.15,Valor Bajo,0.0,2026-04-15
XFC-01101,1.71,1.4,5.38,0,50.0,16.51,Valor Bajo,0.0,2026-04-15
XFC-01102,44.01,43.79,28.5,25,67.88,46.9,Valor Medio,2023.0,2026-04-15
XFC-01103,18.66,14.03,33.5,0,90.21,39.56,Valor Medio,7095.0,2026-04-15
XFC-01104,0.03,0.07,5.38,0,50.0,15.83,Valor Bajo,0.0,2026-04-15
XFC-01105,1.24,0.7,1.75,0,50.0,15.71,Valor Bajo,0.0,2026-04-15
XFC-01106,18.51,16.7,19.25,0,65.23,30.42,Valor Bajo,743.0,2026-04-15
XFC-01107,52.03,48.83,47.0,0,76.56,52.79,Valor Medio,4073.0,2026-04-15
XFC-01108,0.04,0.08,1.25,0,50.0,15.21,Valor Bajo,0.0,2026-04-15
XFC-01109,2.24,1.82,5.62,0,50.0,16.77,Valor Bajo,0.0,2026-04-15
XFC-01110,0.78,0.7,3.0,0,50.0,15.78,Valor Bajo,0.0,2026-04-15
XFC-01111,3.01,2.37,45.12,0,50.0,22.99,Valor Bajo,0.0,2026-04-15
XFC-01112,3.4,2.88,2.75,0,50.0,16.84,Valor Bajo,0.0,2026-04-15
XFC-01113,0.02,0.06,4.5,50,50.0,20.69,Valor Bajo,0.0,2026-04-15
XFC-01114,6.64,5.59,10.75,0,50.0,19.39,Valor Bajo,0.0,2026-04-15
XFC-01115,3.27,2.98,11.25,25,50.0,20.6,Valor Bajo,0.0,2026-04-15
XFC-01116,6.3,6.48,26.75,0,69.57,27.75,Valor Bajo,2006.0,2026-04-15
XFC-01117,3.04,2.74,7.88,0,50.0,17.49,Valor Bajo,0.0,2026-04-15
XFC-01118,1.98,1.75,48.38,0,50.0,23.1,Valor Bajo,0.0,2026-04-15
XFC-01119,1.11,0.67,1.12,0,50.0,15.58,Valor Bajo,0.0,2026-04-15
XFC-01120,38.18,32.18,31.25,0,88.73,47.29,Valor Medio,4766.0,2026-04-15
XFC-01121,2.0,1.93,1.25,0,50.0,16.07,Valor Bajo,0.0,2026-04-15
XFC-01122,4.38,2.74,5.0,0,50.0,17.39,Valor Bajo,0.0,2026-04-15
XFC-01123,20.15,19.44,18.62,50,68.64,37.31,Valor Medio,1230.0,2026-04-15
XFC-01124,40.25,42.21,25.75,50,83.54,52.43,Valor Medio,3740.0,2026-04-15
XFC-01125,0.69,0.7,2.12,50,50.0,20.63,Valor Bajo,0.0,2026-04-15
XFC-01126,0.29,0.0,0.0,0,50.0,15.07,Valor Bajo,0.0,2026-04-15
XFC-01127,12.38,6.59,42.88,0,76.36,33.75,Valor Bajo,4166.0,2026-04-15
XFC-01128,13.07,13.17,22.88,75,79.96,40.82,Valor Medio,1654.0,2026-04-15
XFC-01129,16.02,14.81,30.12,0,78.46,35.02,Valor Medio,1491.0,2026-04-15
XFC-01130,55.59,52.56,43.5,0,77.22,54.1,Valor Medio,4592.0,2026-04-15
XFC-01131,49.63,52.96,43.88,50,72.04,56.19,Alto Valor,2337.0,2026-04-15
XFC-01132,2.6,2.08,2.5,0,50.0,16.44,Valor Bajo,0.0,2026-04-15
XFC-01133,0.86,0.76,3.0,25,50.0,18.32,Valor Bajo,0.0,2026-04-15
XFC-01134,6.3,5.29,11.88,0,50.0,19.42,Valor Bajo,0.0,2026-04-15
XFC-01135,0.56,0.5,5.12,0,50.0,16.01,Valor Bajo,0.0,2026-04-15
XFC-01136,3.74,3.3,7.5,0,50.0,17.72,Valor Bajo,0.0,2026-04-15
XFC-01137,41.42,47.66,35.75,50,90.11,57.28,Alto Valor,6242.0,2026-04-15
XFC-01138,13.21,11.53,26.0,25,64.95,31.49,Valor Bajo,806.0,2026-04-15
XFC-01139,22.56,18.76,18.38,50,83.96,42.34,Valor Medio,4227.0,2026-04-15
XFC-01140,0.39,0.38,2.12,50,50.0,20.49,Valor Bajo,0.0,2026-04-15
XFC-01141,41.75,34.09,34.62,25,90.66,52.15,Valor Medio,6260.0,2026-04-15
XFC-01142,2.74,2.25,3.5,0,50.0,16.66,Valor Bajo,0.0,2026-04-15
XFC-01143,3.57,2.37,4.62,0,50.0,17.06,Valor Bajo,0.0,2026-04-15
XFC-01144,22.61,23.11,13.12,0,82.07,36.86,Valor Medio,1757.0,2026-04-15
XFC-01145,1.07,0.38,5.25,0,50.0,16.13,Valor Bajo,0.0,2026-04-15
XFC-01146,31.37,30.73,22.88,75,69.5,45.77,Valor Medio,1517.0,2026-04-15
XFC-01147,4.53,0.0,0.0,25,0.0,3.63,En Riesgo,302.0,2026-04-15
XFC-01148,0.23,0.24,3.62,0,50.0,15.65,Valor Bajo,0.0,2026-04-15
XFC-01149,46.59,40.88,24.12,50,80.52,52.6,Valor Medio,4142.0,2026-04-15
XFC-01150,0.09,0.0,0.0,0,50.0,15.02,Valor Bajo,0.0,2026-04-15
XFC-01151,53.33,53.81,25.5,50,90.1,59.95,Alto Valor,8674.0,2026-04-15
XFC-01152,18.77,16.81,21.88,25,66.39,33.75,Valor Bajo,821.0,2026-04-15
XFC-01153,11.49,12.32,21.12,100,75.49,41.15,Valor Medio,1048.0,2026-04-15
XFC-01154,1.46,1.34,3.5,100,50.0,26.16,Valor Bajo,0.0,2026-04-15
XFC-01155,49.41,52.26,31.5,75,69.76,55.96,Alto Valor,2086.0,2026-04-15
XFC-01156,19.25,15.88,27.25,25,88.46,41.11,Valor Medio,2843.0,2026-04-15
XFC-01157,27.34,27.68,20.38,0,67.58,35.7,Valor Medio,1422.0,2026-04-15
XFC-01158,3.8,3.34,5.12,0,50.0,17.39,Valor Bajo,0.0,2026-04-15
XFC-01159,1.64,1.47,2.25,75,50.0,23.54,Valor Bajo,0.0,2026-04-15
XFC-01160,31.21,30.66,32.25,25,78.7,44.88,Valor Medio,3703.0,2026-04-15
XFC-01161,0.16,0.17,1.25,0,50.0,15.26,Valor Bajo,0.0,2026-04-15
XFC-01162,1.46,0.48,17.88,25,92.5,33.39,Valor Bajo,6196.0,2026-04-15
XFC-01163,6.67,6.99,30.5,25,86.98,36.23,Valor Medio,5396.0,2026-04-15
XFC-01164,2.74,2.29,4.12,0,50.0,16.76,Valor Bajo,0.0,2026-04-15
XFC-01165,5.94,5.17,8.12,25,78.87,29.9,Valor Bajo,522.0,2026-04-15
XFC-01166,3.69,3.28,10.38,100,50.0,28.14,Valor Bajo,0.0,2026-04-15
XFC-01167,17.43,15.03,20.5,0,72.6,32.22,Valor Bajo,1157.0,2026-04-15
XFC-01168,8.09,6.62,14.5,0,50.0,20.52,Valor Bajo,0.0,2026-04-15
XFC-01169,0.02,0.0,0.0,0,50.0,15.0,En Riesgo,0.0,2026-04-15
XFC-01170,13.19,9.89,14.75,0,50.0,22.49,Valor Bajo,0.0,2026-04-15
XFC-01171,10.2,9.32,15.75,0,79.32,30.57,Valor Bajo,2169.0,2026-04-15
XFC-01172,50.62,54.46,43.75,0,56.99,47.21,Valor Medio,1600.0,2026-04-15
XFC-01173,8.98,8.02,15.75,0,76.03,29.02,Valor Bajo,1039.0,2026-04-15
XFC-01174,3.01,1.42,3.88,0,50.0,16.62,Valor Bajo,0.0,2026-04-15
XFC-01175,23.76,19.45,25.62,25,64.24,35.44,Valor Medio,839.0,2026-04-15
XFC-01176,24.01,27.67,22.0,0,78.07,38.26,Valor Medio,2456.0,2026-04-15
XFC-01177,1.7,1.01,4.5,0,50.0,16.3,Valor Bajo,0.0,2026-04-15
XFC-01178,0.31,0.3,3.5,0,50.0,15.66,Valor Bajo,0.0,2026-04-15
XFC-01179,2.09,1.62,4.0,100,50.0,26.45,Valor Bajo,0.0,2026-04-15
XFC-01180,5.05,4.01,9.38,0,50.0,18.47,Valor Bajo,0.0,2026-04-15
XFC-01181,17.73,15.61,45.25,25,51.45,32.28,Valor Bajo,834.0,2026-04-15
XFC-01182,5.56,4.69,6.75,0,50.0,18.34,Valor Bajo,0.0,2026-04-15
XFC-01183,26.27,22.88,33.25,50,74.63,43.52,Valor Medio,1670.0,2026-04-15
XFC-01184,9.88,10.2,11.62,0,66.81,26.3,Valor Bajo,603.0,2026-04-15
XFC-01185,0.1,0.12,2.25,0,50.0,15.39,Valor Bajo,0.0,2026-04-15
XFC-01186,53.76,48.23,37.5,50,65.57,53.38,Valor Medio,1806.0,2026-04-15
XFC-01187,10.75,9.35,30.0,0,72.45,30.79,Valor Bajo,1462.0,2026-04-15
XFC-01188,2.17,1.58,8.12,0,50.0,17.08,Valor Bajo,0.0,2026-04-15
XFC-01189,1.28,1.08,2.62,0,50.0,15.93,Valor Bajo,0.0,2026-04-15
XFC-01190,2.01,1.88,1.88,0,50.0,16.16,Valor Bajo,0.0,2026-04-15
XFC-01191,8.16,6.73,10.75,50,50.0,25.0,Valor Bajo,0.0,2026-04-15
XFC-01192,0.04,0.08,0.75,100,50.0,25.14,Valor Bajo,0.0,2026-04-15
XFC-01193,11.85,9.7,13.88,75,50.0,29.48,Valor Bajo,0.0,2026-04-15
XFC-01194,2.4,2.04,6.88,0,50.0,17.04,Valor Bajo,0.0,2026-04-15
XFC-01195,1.28,1.08,3.0,100,50.0,25.99,Valor Bajo,0.0,2026-04-15
XFC-01196,33.83,31.85,23.0,50,91.74,50.8,Valor Medio,8762.0,2026-04-15
XFC-01197,1.24,0.39,1.88,25,50.0,18.17,Valor Bajo,0.0,2026-04-15
XFC-01198,0.21,0.0,0.0,75,50.0,22.55,Valor Bajo,0.0,2026-04-15
XFC-01199,9.56,7.17,13.88,0,50.0,20.91,Valor Bajo,0.0,2026-04-15
XFC-01200,17.1,19.42,12.25,25,78.14,35.94,Valor Medio,1319.0,2026-04-15
XFC-01201,23.78,24.87,16.75,0,87.4,39.65,Valor Medio,3514.0,2026-04-15
XFC-01202,17.56,15.41,27.38,25,92.03,41.69,Valor Medio,4400.0,2026-04-15
XFC-01203,0.05,0.08,2.0,0,50.0,15.33,Valor Bajo,0.0,2026-04-15
XFC-01204,2.59,0.0,0.0,75,0.0,8.15,En Riesgo,174.0,2026-04-15
XFC-01205,57.1,60.78,59.13,75,93.73,70.92,Alto Valor,19129.0,2026-04-15
XFC-01206,55.39,52.71,30.63,0,77.14,52.13,Valor Medio,3364.0,2026-04-15
XFC-01207,0.1,0.12,3.5,100,50.0,25.57,Valor Bajo,0.0,2026-04-15
XFC-01208,3.08,2.45,8.25,0,50.0,17.5,Valor Bajo,0.0,2026-04-15
XFC-01209,71.99,80.47,46.62,25,87.69,69.89,Alto Valor,8769.0,2026-04-15
XFC-01210,20.43,19.1,25.75,50,72.83,39.64,Valor Medio,1672.0,2026-04-15
XFC-01211,0.72,0.43,0.5,50,50.0,20.34,Valor Bajo,0.0,2026-04-15
XFC-01212,27.39,22.7,31.13,50,81.86,45.61,Valor Medio,2993.0,2026-04-15
XFC-01213,20.97,24.43,30.88,75,85.72,47.98,Valor Medio,3491.0,2026-04-15
XFC-01214,16.47,14.48,25.12,100,71.93,42.36,Valor Medio,770.0,2026-04-15
XFC-01215,9.95,9.79,18.5,75,75.03,37.23,Valor Medio,776.0,2026-04-15
XFC-01216,7.19,5.91,8.88,100,50.0,29.31,Valor Bajo,0.0,2026-04-15
XFC-01217,2.34,2.24,2.62,0,50.0,16.43,Valor Bajo,0.0,2026-04-15
XFC-01218,2.26,0.92,5.62,0,50.0,16.59,Valor Bajo,0.0,2026-04-15
XFC-01219,0.32,0.0,0.0,50,50.0,20.08,Valor Bajo,0.0,2026-04-15
XFC-01220,6.08,5.1,24.38,25,76.81,31.74,Valor Bajo,987.0,2026-04-15
XFC-01221,2.6,0.0,0.0,75,0.0,8.15,En Riesgo,175.0,2026-04-15
XFC-01222,3.89,3.42,3.0,50,50.0,22.11,Valor Bajo,0.0,2026-04-15
XFC-01223,0.07,0.0,0.0,75,50.0,22.52,Valor Bajo,0.0,2026-04-15
XFC-01224,15.08,15.86,33.88,50,82.85,41.88,Valor Medio,3706.0,2026-04-15
XFC-01225,0.32,0.29,28.88,0,50.0,19.47,Valor Bajo,0.0,2026-04-15
XFC-01226,6.63,5.34,12.25,25,50.0,22.06,Valor Bajo,0.0,2026-04-15
XFC-01227,0.24,0.0,0.0,0,50.0,15.06,Valor Bajo,0.0,2026-04-15
XFC-01228,2.01,1.72,2.25,25,50.0,18.68,Valor Bajo,0.0,2026-04-15
XFC-01229,1.43,1.29,4.25,0,50.0,16.25,Valor Bajo,0.0,2026-04-15
XFC-01230,2.75,2.06,5.5,50,50.0,21.92,Valor Bajo,0.0,2026-04-15
XFC-01231,3.19,2.9,5.0,25,78.76,28.26,Valor Bajo,346.0,2026-04-15
XFC-01232,12.81,9.6,15.12,0,50.0,22.39,Valor Bajo,0.0,2026-04-15
XFC-01233,39.56,42.65,31.87,50,79.72,52.12,Valor Medio,3232.0,2026-04-15
XFC-01234,9.82,7.93,10.75,0,50.0,20.65,Valor Bajo,0.0,2026-04-15
XFC-01235,1.32,1.1,5.0,0,50.0,16.3,Valor Bajo,0.0,2026-04-15
XFC-01236,1.98,0.96,3.88,0,50.0,16.27,Valor Bajo,0.0,2026-04-15
XFC-01237,2.18,1.61,3.0,50,50.0,21.32,Valor Bajo,0.0,2026-04-15
XFC-01238,6.41,3.59,13.63,50,50.0,24.36,Valor Bajo,0.0,2026-04-15
XFC-01239,1.89,1.55,6.12,50,50.0,21.7,Valor Bajo,0.0,2026-04-15
XFC-01240,0.21,0.21,2.88,0,50.0,15.53,Valor Bajo,0.0,2026-04-15
XFC-01241,0.55,0.52,2.12,0,50.0,15.56,Valor Bajo,0.0,2026-04-15
XFC-01242,20.79,17.26,15.88,50,81.48,40.48,Valor Medio,3002.0,2026-04-15
XFC-01243,0.14,0.16,0.88,0,50.0,15.2,Valor Bajo,0.0,2026-04-15
XFC-01244,1.17,0.0,0.0,50,0.0,5.29,En Riesgo,81.0,2026-04-15
XFC-01245,0.03,0.0,0.0,50,50.0,20.01,Valor Bajo,0.0,2026-04-15
XFC-01246,18.16,19.0,29.38,75,91.77,47.78,Valor Medio,6036.0,2026-04-15
XFC-01247,19.72,15.26,36.0,50,73.31,40.38,Valor Medio,1881.0,2026-04-15
XFC-01248,11.02,9.75,15.88,75,70.83,35.84,Valor Medio,616.0,2026-04-15
XFC-01249,10.28,6.24,37.0,0,96.1,38.2,Valor Medio,17870.0,2026-04-15
XFC-01250,0.16,0.16,6.38,50,50.0,21.03,Valor Bajo,0.0,2026-04-15
XFC-01251,27.74,25.26,40.12,50,83.44,48.04,Valor Medio,3178.0,2026-04-15
XFC-01252,11.66,9.96,14.0,0,50.0,22.01,Valor Bajo,0.0,2026-04-15
XFC-01253,7.51,6.47,10.12,75,50.0,27.19,Valor Bajo,0.0,2026-04-15
XFC-01254,0.15,0.17,12.5,0,50.0,16.95,Valor Bajo,0.0,2026-04-15
XFC-01255,3.41,2.84,7.25,0,50.0,17.51,Valor Bajo,0.0,2026-04-15
XFC-01256,1.05,0.95,2.88,100,50.0,25.88,Valor Bajo,0.0,2026-04-15
XFC-01257,6.13,5.24,12.12,100,50.0,29.4,Valor Bajo,0.0,2026-04-15
XFC-01258,5.97,7.2,34.38,0,46.3,21.98,Valor Bajo,700.0,2026-04-15
XFC-01259,24.74,24.4,37.0,100,74.72,49.03,Valor Medio,1358.0,2026-04-15
XFC-01260,0.6,0.63,2.62,0,50.0,15.67,Valor Bajo,0.0,2026-04-15
XFC-01261,1.43,1.18,20.5,0,50.0,18.67,Valor Bajo,0.0,2026-04-15
XFC-01262,23.12,24.21,38.38,75,86.67,49.88,Valor Medio,5467.0,2026-04-15
XFC-01263,20.38,26.02,40.75,100,77.42,49.64,Valor Medio,2566.0,2026-04-15
XFC-01264,5.68,3.62,9.0,0,50.0,18.49,Valor Bajo,0.0,2026-04-15
XFC-01265,0.94,0.34,12.5,50,50.0,22.18,Valor Bajo,0.0,2026-04-15
XFC-01266,0.38,0.35,1.0,0,50.0,15.32,Valor Bajo,0.0,2026-04-15
